iter	Passed	Remaining
552	1447	1169
553	1449	1166
554	1451	1163
555	1453	1160
556	1455	1157
557	1458	1154
558	1460	1151
559	1462	1149
560	1465	1146
561	1466	1143
562	1469	1140
563	1471	1137
564	1473	1134
565	1475	1131
566	1477	1128
567	1480	1125
568	1482	1122
569	1484	1119
570	1486	1116
571	1488	1113
572	1489	1110
573	1491	1107
574	1493	1104
575	1496	1101
576	1497	1098
577	1500	1095
578	1502	1092
579	1503	1088
580	1505	1085
581	1507	1082
582	1510	1080
583	1512	1077
584	1514	1074
585	1516	1071
586	1518	1068
587	1519	1065
588	1521	1061
589	1526	1060
590	1528	1057
591	1530	1054
592	1533	1052
593	1536	1050
594	1538	1047
595	1541	1044
596	1543	1041
597	1544	1038
598	1546	1035
599	1548	1032
600	1550	1029
601	1552	1026
602	1554	1023
603	1556	1020
604	1558	1017
605	1559	1014
606	1561	1011
607	1563	1007
608	1565	1004
609	1566	1001
610	1569	999
611	1571	996
612	1573	993
613	1575	990
614	1577	987
615	1578	984
616	1580	981
617	1582	978
618	1584	975
619	1587	972
620	1589	969
621	1590	966
622	1592	963
623	1594	960
624	1596	957
625	1597	954
626	1599	951
627	1601	948
628	1603	945
629	1605	942
630	1607	939
631	1609	937
632	1611	934
633	1613	931
634	1615	928
635	1618	926
636	1620	923
637	1622	920
638	1625	918
639	1627	915
640	1630	913
641	1632	910
642	1634	907
643	1637	905
644	1640	903
645	1643	900
646	1649	899
647	1652	897
648	1654	895
649	1657	892
650	1659	889
651	1661	886
652	1663	884
653	1666	881
654	1669	879
655	1671	876
656	1673	873
657	1677	872
658	1680	869
659	1682	866
660	1684	864
661	1686	861
662	1688	858
663	1690	855
664	1691	852
665	1693	849
666	1696	846
667	1698	843
668	1700	841
669	1702	838
670	1704	835
671	1705	832
672	1707	829
673	1709	826
674	1711	824
675	1715	822
676	1717	819
677	1718	816
678	1720	813
679	1722	810
680	1724	807
681	1727	805
682	1730	802
683	1732	800
684	1733	797
685	1735	794
686	1737	791
687	1739	788
688	1741	786
689	1744	783
690	1746	781
691	1748	778
692	1750	775
693	1751	772
694	1753	769
695	1755	766
696	1757	763
697	1759	761
698	1761	758
699	1762	755
700	1764	752
701	1766	749
702	1767	746
703	1770	744
704	1774	742
705	1775	739
706	1777	736
707	1779	733
708	1781	731
709	1782	728
710	1784	725
711	1787	723
712	1789	720
713	1791	717
714	1792	714
715	1794	711
716	1796	709
717	1798	706
718	1800	703
719	1802	700
720	1804	698
721	1805	695
722	1807	692
723	1809	689
724	1811	687
725	1813	684
726	1814	681
727	1816	678
728	1818	676
729	1820	673
730	1821	670
731	1823	667
732	1825	664
733	1826	662
734	1828	659
735	1830	656
736	1832	653
737	1835	651
738	1837	648
739	1839	646
740	1840	643
741	1842	640
742	1844	637
743	1846	635
744	1849	633
745	1851	630
746	1852	627
747	1854	624
748	1856	622
749	1858	619
750	1860	616
751	1862	614
752	1865	611
753	1866	608
754	1868	606
755	1869	603
756	1871	600
757	1875	598
758	1877	596
759	1880	593
760	1882	591
761	1884	588
762	1886	586
763	1889	583
764	1891	580
765	1892	578
766	1894	575
767	1897	573
768	1899	570
769	1901	567
770	1903	565
771	1904	562
772	1906	559
773	1908	557
774	1910	554
775	1913	552
776	1915	549
777	1916	546
778	1918	544
779	1920	541
780	1922	539
781	1924	536
782	1925	533
783	1928	531
784	1930	528
785	1931	525
786	1933	523
787	1935	520
788	1937	518
789	1938	515
790	1940	512
791	1942	510
792	1944	507
793	1945	504
794	1947	502
795	1949	499
796	1951	497
797	1953	494
798	1955	491
799	1956	489
800	1958	486
801	1960	483
802	1962	481
803	1963	478
804	1965	476
805	1966	473
806	1968	470
807	1969	468
808	1971	465
809	1973	462
810	1974	460
811	1976	457
812	1978	454
813	1979	452
814	1981	449
815	1982	447
816	1984	444
817	1985	441
818	1987	439
819	1989	436
820	1990	434
821	1992	431
822	1993	428
823	1995	426
824	1996	423
825	1998	420
826	1999	418
827	2001	415
828	2002	413
829	2006	410
830	2007	408
831	2009	405
832	2010	403
833	2012	400
834	2013	397
835	2015	395
836	2016	392
837	2018	390
838	2020	387
839	2021	385
840	2023	382
841	2025	380
842	2026	377
843	2028	374
844	2030	372
845	2031	369
846	2033	367
847	2036	364
848	2037	362
849	2039	359
850	2041	357
851	2043	354
852	2044	352
853	2046	349
854	2048	347
855	2051	345
856	2053	342
857	2055	340
858	2057	337
859	2059	335
860	2061	332
861	2062	330
862	2064	327
863	2067	325
864	2069	323
865	2071	320
866	2073	318
867	2074	315
868	2076	313
869	2077	310
870	2079	307
871	2081	305
872	2084	303
873	2086	300
874	2088	298
875	2089	295
876	2091	293
877	2093	290
878	2094	288
879	2097	286
880	2100	283
881	2101	281
882	2103	278
883	2104	276
884	2106	273
885	2108	271
886	2109	268
887	2111	266
888	2114	263
889	2115	261
890	2117	259
891	2119	256
892	2120	254
893	2122	251
894	2124	249
895	2126	246
896	2129	244
897	2130	242
898	2132	239
899	2134	237
900	2135	234
901	2138	232
902	2140	229
903	2142	227
904	2145	225
905	2147	222
906	2149	220
907	2151	217
908	2153	215
909	2154	213
910	2156	210
911	2159	208
912	2161	205
913	2162	203
914	2164	201
915	2166	198
916	2167	196
917	2169	193
918	2170	191
919	2172	188
920	2175	186
921	2176	184
922	2178	181
923	2180	179
924	2182	176
925	2183	174
926	2185	172
927	2187	169
928	2190	167
929	2192	165
930	2193	162
931	2195	160
932	2196	157
933	2198	155
934	2200	152
935	2202	150
936	2204	148
937	2207	145
938	2209	143
939	2210	141
940	2212	138
941	2214	136
942	2215	133
943	2217	131
944	2220	129
945	2222	126
946	2224	124
947	2225	122
948	2227	119
949	2229	117
950	2230	114
951	2232	112
952	2235	110
953	2237	107
954	2238	105
955	2240	103
956	2242	100
957	2244	98
958	2246	96
959	2248	93
960	2251	91
961	2253	89
962	2255	86
963	2256	84
964	2258	81
965	2260	79
966	2262	77
967	2263	74
968	2265	72
969	2269	70
970	2271	67
971	2272	65
972	2274	63
973	2275	60
974	2277	58
975	2279	56
976	2283	53
977	2285	51
978	2286	49
979	2288	46
980	2290	44
981	2291	42
982	2293	39
983	2295	37
984	2298	34
985	2299	32
986	2301	30
987	2303	27
988	2304	25
989	2306	23
990	2307	20
991	2309	18
992	2311	16
993	2313	13
994	2315	11
995	2316	9
996	2318	6
997	2320	4
998	2321	2
999	2323	0
