iter	Logloss
0	0.6871048584
1	0.6819455566
2	0.6765043335
3	0.6717536621
4	0.6659020386
5	0.6607420654
6	0.6566019287
7	0.6520322876
8	0.6467980347
9	0.6416795044
10	0.6370325928
11	0.6323082275
12	0.6285131836
13	0.6238471069
14	0.6199945679
15	0.6150333252
16	0.6099819946
17	0.6062435303
18	0.6023917236
19	0.5979341431
20	0.5943515625
21	0.5896292725
22	0.5859661865
23	0.5832040405
24	0.5791937866
25	0.5753995972
26	0.5721107178
27	0.5686716309
28	0.5660286865
29	0.5624144287
30	0.5589226074
31	0.5561252441
32	0.553199585
33	0.5511306152
34	0.5482126465
35	0.5446532593
36	0.5405834961
37	0.5378215332
38	0.5350401001
39	0.5328411255
40	0.5299421997
41	0.5275385742
42	0.5246113892
43	0.5218178101
44	0.5186725464
45	0.5169685059
46	0.5143460083
47	0.5114666138
48	0.5085224609
49	0.5063719177
50	0.5043014221
51	0.5020732727
52	0.4995539856
53	0.49778479
54	0.4950933838
55	0.4926176453
56	0.4896704102
57	0.4866050415
58	0.4847506714
59	0.4826911621
60	0.4804467163
61	0.4780580139
62	0.4757909851
63	0.4736271667
64	0.4708652954
65	0.4687045288
66	0.4670975342
67	0.4650301514
68	0.4632079468
69	0.4613110352
70	0.4597871704
71	0.458180603
72	0.4573805542
73	0.4551986084
74	0.4536654053
75	0.4517020874
76	0.4495759888
77	0.4477774963
78	0.4459752808
79	0.4449913025
80	0.4430187988
81	0.442043396
82	0.4402355347
83	0.4388372803
84	0.4375540771
85	0.4359833069
86	0.4349836731
87	0.433305542
88	0.432020813
89	0.4301748047
90	0.4290218201
91	0.4279188538
92	0.4266322937
93	0.4253781433
94	0.4243138428
95	0.4231201477
96	0.4222353516
97	0.421105957
98	0.4199455872
99	0.4190906982
100	0.4176242371
101	0.4161889648
102	0.4150814819
103	0.4139031982
104	0.4129058228
105	0.4114934387
106	0.4103617554
107	0.4092937012
108	0.4080448608
109	0.4072187195
110	0.4060379639
111	0.4049804077
112	0.4034537354
113	0.4027724609
114	0.4016746826
115	0.4006378174
116	0.399570343
117	0.3983328857
118	0.3972981873
119	0.3966478577
120	0.3955731201
121	0.3945203247
122	0.3935488892
123	0.3927335815
124	0.3915667114
125	0.3905237427
126	0.3893505249
127	0.3882282715
128	0.3877541504
129	0.3866147461
130	0.3856676331
131	0.384644989
132	0.383835083
133	0.3828162231
134	0.3818430176
135	0.3810215149
136	0.3801231384
137	0.3795482178
138	0.3783304749
139	0.377565979
140	0.376756958
141	0.3758193359
142	0.3750030823
143	0.3741185303
